id,grid_code,geometry_wkt,ocean_fraction,orbit_state,datetime,product_type
BIO_S2_SCS__1S_20260528T073323_20260528T073351_T_G01_M03_C05_T034_F248_02_DS5J8Q,WRS-34-248,"POLYGON ((-6.552976 -71.23973, -8.215159 -71.422134, -6.497506 -73.045975, -4.687118 -72.849304, -6.552976 -71.23973))",0.028951730506682538,ascending,2026-05-28T07:33:23.089Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T040908_20260528T040933_T_G01_M03_C05_T032_F223_02_DS57QB,WRS-32-223,"POLYGON ((-179.92561 -77.77028, -177.52507 -78.0394, -174.49683 -76.66435, -176.70554 -76.42056, -179.92561 -77.77028))",1.0,descending,2026-05-28T04:09:08.005Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T041806_20260528T041826_T_G01_M03_C05_T032_F251_02_DS553S,WRS-32-251,"POLYGON ((39.35879 -67.9401, 37.8923 -68.10409, 38.86551 -69.2951, 40.360584 -69.129395, 39.35879 -67.9401))",0.9378972964209866,ascending,2026-05-28T04:18:06.144Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T023334_20260528T023355_T_G01_M03_C05_T031_F231_02_DS531W,WRS-31-231,"POLYGON ((156.8372 -84.05932, 158.40347 -84.60627, 170.5014 -84.07808, 168.07243 -83.568596, 156.8372 -84.05932))",-2.220446049250313e-16,descending,2026-05-28T02:33:34.177Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T023217_20260528T023238_T_G01_M03_C05_T031_F227_02_DS53EL,WRS-31-227,"POLYGON ((-170.76372 -81.52603, -167.81062 -81.91167, -162.64642 -80.93877, -165.49022 -80.59156, -170.76372 -81.52603))",1.0,descending,2026-05-28T02:32:17.970Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T023917_20260528T023937_T_G01_M03_C05_T031_F249_02_DS53GQ,WRS-31-249,"POLYGON ((65.86279 -70.15187, 64.21781 -70.33233, 65.414185 -71.51096, 67.14629 -71.32162, 65.86279 -70.15187))",0.0,ascending,2026-05-28T02:39:17.095Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T054607_20260528T054627_T_G01_M03_C05_T033_F219_02_DS5JK3,WRS-33-219,"POLYGON ((163.89697 -73.61122, 165.62549 -73.79919, 167.19875 -72.643394, 165.43375 -72.45164, 163.89697 -73.61122))",0.07379381198550117,descending,2026-05-28T05:46:07.385Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T041009_20260528T041030_T_G01_M03_C05_T032_F226_02_DS57OM,WRS-32-226,"POLYGON ((169.62093 -80.65465, 172.45813 -81.00277, 176.68913 -79.97786, 174.00168 -79.662674, 169.62093 -80.65465))",1.0,descending,2026-05-28T04:10:09.864Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T090034_20260528T090055_T_G01_M03_C05_T035_F213_02_DS5HQ8,WRS-35-213,"POLYGON ((121.58695 -67.028244, 123.055466 -67.19328, 123.841225 -65.9902, 122.4834 -65.835884, 121.58695 -67.028244))",0.7691773570284671,descending,2026-05-28T09:00:34.822Z,S2_SCS__1S
BIO_S2_SCS__1S_20260528T090112_20260528T090122_T_G01_M03_C05_T035_F215_02_DS5HPO,WRS-35-215,"POLYGON ((120.35812 -68.62996, 121.86852 -68.79707, 122.31069 -68.22952, 120.8299 -68.064926, 120.35812 -68.62996))",0.0,descending,2026-05-28T09:01:12.918Z,S2_SCS__1S
